Year,Day,hh,mm,ss,mss,ns,Range (km)
2016,240,17,16,11,751,0,1315.77216027
2016,240,17,16,12,751,0,1321.14414133
2016,240,17,16,13,751,0,1326.53171159
2016,240,17,16,14,751,0,1331.93472116
2016,240,17,16,15,751,0,1337.35331995
2016,240,17,16,16,751,0,1342.78780773
2016,240,17,16,17,751,0,1348.23758493
2016,240,17,16,18,751,0,1353.70070289
2016,240,17,16,19,751,0,1359.17926016
2016,240,17,16,20,751,0,1364.67220747
2016,240,17,16,21,751,0,1370.17864545
2016,240,17,16,22,751,0,1375.69962335
2016,240,17,16,23,751,0,1381.2348414
2016,240,17,16,24,751,0,1386.78370001
2016,240,17,16,25,751,0,1392.34664886
2016,240,17,16,26,751,0,1397.92143951
2016,240,17,16,27,751,0,1403.51032041
2016,240,17,16,28,751,0,1409.11224228
2016,240,17,16,29,751,0,1414.7279546
2016,240,17,16,30,751,0,1420.35580852
2016,240,17,16,31,751,0,1425.99640362
2016,240,17,16,32,751,0,1431.6494401
2016,240,17,16,33,751,0,1437.31491797
2016,240,17,16,34,751,0,1442.99223765
2016,240,17,16,35,751,0,1448.68244839
2016,240,17,16,36,751,0,1454.38390136
2016,240,17,16,37,751,0,1460.09674644
2016,240,17,16,38,751,0,1465.82143332
2016,240,17,16,39,751,0,1471.55796201
2016,240,17,16,40,751,0,1477.30513332
2016,240,17,16,41,751,0,1483.06384665
2016,240,17,16,42,751,0,1488.8333525
2016,240,17,16,43,751,0,1494.61380078
2016,240,17,16,44,751,0,1500.40519148
2016,240,17,16,45,751,0,1506.2079743
2016,240,17,16,46,751,0,1512.02095006
2016,240,17,16,47,751,0,1517.8427697
2016,240,17,16,48,751,0,1523.67568166
2016,240,17,16,49,751,0,1529.51983584
2016,240,17,16,50,751,0,1535.37313368
2016,240,17,16,51,751,0,1541.23647458
2016,240,17,16,52,751,0,1547.10925893
2016,240,17,16,53,751,0,1552.99118696
2016,240,17,16,54,751,0,1558.8842073
2016,240,17,16,55,751,0,1564.78577174
2016,240,17,16,56,751,0,1570.69558046
2016,240,17,16,57,751,0,1576.61648151
2016,240,17,16,58,751,0,1582.54547695
2016,240,17,16,59,751,0,1588.48241689
2016,240,17,17,0,751,0,1594.42880029
2016,240,17,17,1,751,0,1600.38522675
2016,240,17,17,2,751,0,1606.34929791
2016,240,17,17,3,751,0,1612.32251274
2016,240,17,17,4,751,0,1618.30397186
2016,240,17,17,5,751,0,1624.29337548
2016,240,17,17,6,751,0,1630.29147308
2016,240,17,17,7,751,0,1636.29961373
2016,240,17,17,8,751,0,1642.31375023
2016,240,17,17,9,751,0,1648.33598113
2016,240,17,17,10,751,0,1654.3673557
2016,240,17,17,11,751,0,1660.40547559
2016,240,17,17,12,751,0,1666.4509404
2016,240,17,17,13,751,0,1672.5050992
2016,240,17,17,14,751,0,1678.56525384
2016,240,17,17,15,751,0,1684.63455215
2016,240,17,17,16,751,0,1690.71059579
2016,240,17,17,17,751,0,1696.79338477
2016,240,17,17,18,751,0,1702.88471783
2016,240,17,17,19,751,0,1708.98249642
2016,240,17,17,20,751,0,1715.08627087
2016,240,17,17,21,751,0,1721.19679064
2016,240,17,17,22,751,0,1727.3158545
2016,240,17,17,23,751,0,1733.44241317
2016,240,17,17,24,751,0,1739.57511759
2016,240,17,17,25,751,0,1745.71291848
2016,240,17,17,26,751,0,1751.85821418
2016,240,17,17,27,751,0,1758.00935583
2016,240,17,17,28,751,0,1764.16694302
2016,240,17,17,29,751,0,1770.33157534
2016,240,17,17,30,751,0,1776.5020536
2016,240,17,17,31,751,0,1782.67807803
2016,240,17,17,32,751,0,1788.86129748
2016,240,17,17,33,751,0,1795.0496134
2016,240,17,17,34,751,0,1801.24377527
2016,240,17,17,35,751,0,1807.44468247
2016,240,17,17,36,751,0,1813.65053624
2016,240,17,17,37,751,0,1819.86253577
2016,240,17,17,38,751,0,1826.08098083
2016,240,17,17,39,751,0,1832.30422257
2016,240,17,17,40,751,0,1838.53301047
2016,240,17,17,41,751,0,1844.76749442
2016,240,17,17,42,751,0,1851.00722475
2016,240,17,17,43,751,0,1857.25280103
2016,240,17,17,44,751,0,1863.50362367
2016,240,17,17,45,751,0,1869.75939289
2016,240,17,17,46,751,0,1876.02010869
2016,240,17,17,47,751,0,1882.28667044
2016,240,17,17,48,751,0,1888.55802887
2016,240,17,17,49,751,0,1894.8331347
2016,240,17,17,50,751,0,1901.11528566
2016,240,17,17,51,751,0,1907.40163371
2016,240,17,17,52,751,0,1913.69157927
