BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
22	2016	240	17	8	44	700	0	-6.50725118	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	45	700	0	-6.50494767	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	46	700	0	-6.50262392	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	47	700	0	-6.50025846	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	48	700	0	-6.4978878	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	49	700	0	-6.49548277	0	0	0	f8	f0	8	4	3	16	1	1
23	2016	240	17	8	50	700	0	-6.49303617	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	51	700	0	-6.4905869	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	52	700	0	-6.48808561	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	53	700	0	-6.48554528	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	54	700	0	-6.48301854	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	55	700	0	-6.48042358	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	56	700	0	-6.47782389	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	57	700	0	-6.47518363	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	58	700	0	-6.472507	0	0	0	f8	f0	8	4	3	17	1	1
23	2016	240	17	8	59	700	0	-6.4697928	0	0	0	f8	f0	8	4	3	17	1	1
24	2016	240	17	9	0	700	0	-6.46708699	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	1	700	0	-6.46431043	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	2	700	0	-6.46151815	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	3	700	0	-6.4586833	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	4	700	0	-6.4558328	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	5	700	0	-6.45295571	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	6	700	0	-6.45002094	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	7	700	0	-6.44706005	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	8	700	0	-6.4440867	0	0	0	f8	f0	8	4	3	18	1	1
24	2016	240	17	9	9	700	0	-6.4410468	0	0	0	f8	f0	8	4	3	18	1	1
